Recording ID	Recording URL	Cut from	Cut duration	Label
T2041R02	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=10305&idType=sessionId&sortBy=abc	220,6775991	5	i
T2041R02	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=10305&idType=sessionId&sortBy=abc	56,83911811	5	i
T1720R22	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=11023&idType=sessionId&sortBy=abc	141,0495798	5	2
T1720R22	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=11023&idType=sessionId&sortBy=abc	54,99471203	5	2
T1079R01	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=11116&idType=sessionId&sortBy=abc	210,5159045	5	i
T1079R01	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=11116&idType=sessionId&sortBy=abc	81,10117831	5	i
T955.1R30	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=10820&idType=sessionId&sortBy=abc	165,9947952	5	s
N10R18	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=11025&idType=sessionId&sortBy=abc	101,194564	5	i
N10R18	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=11025&idType=sessionId&sortBy=abc	101,0563256	5	i
T947.1R08	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=10813&idType=sessionId&sortBy=abc	332,6944911	5	s
T3424R03	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=10084&idType=sessionId&sortBy=abc	166,9770762	5	1
T947.1R10	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=10813&idType=sessionId&sortBy=abc	702,2767462	5	s
T3423R03	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=182&idType=sessionId&sortBy=abc	324,3081229	5	s
T1691R11	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=11004&idType=sessionId&sortBy=abc	93,15063644	5	i
T647R09	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=10729&idType=sessionId&sortBy=abc	117,6564184	5	1
T3397R05	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=10228&idType=sessionId&sortBy=abc	171,9464026	5	2
T949R07	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=10813&idType=sessionId&sortBy=abc	162,4900678	5	s
T1703R04	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=11015&idType=sessionId&sortBy=abc	60,94332801	5	2
T943R26	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=604&idType=sessionId&sortBy=abc	79,680761	5	1
T943R26	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=604&idType=sessionId&sortBy=abc	21,92790864	5	1
T1722R19	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=11023&idType=sessionId&sortBy=abc	91,27366062	5	2
T1722R19	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=11023&idType=sessionId&sortBy=abc	116,3613276	5	i
T1722R19	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=11023&idType=sessionId&sortBy=abc	127,7739144	5	2
T1701R01	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=11012&idType=sessionId&sortBy=abc	17,9303212	5	i
T1815R05	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=10231&idType=sessionId&sortBy=abc	60,95580963	5	s
T1815R05	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=10231&idType=sessionId&sortBy=abc	5,623282387	5	s
T1815R12	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=10231&idType=sessionId&sortBy=abc	92,93436628	5	s
T1815R12	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=10231&idType=sessionId&sortBy=abc	69,27725503	5	s
T984R29	http://research.culturalequity.org/rc-b2/get-audio-ix.do?ix=recording&id=10815&idType=sessionId&sortBy=abc	29,92320552	5	s
